ref_perturbation,ref_target,num_ha_perturbed,newlig1_smi,newlig2_smi,input_smarts
lig_06_ligPyr~lig_03_ligNHMe,galectin,5,c1ccc(N2CCCC2)cc1,CNc1ccccc1,c[1*]N1CCCC1~c[1*]NC
lig_06_ligPyr~lig_08_ligNH2,galectin,5,c1ccc(N2CCCC2)cc1,Nc1ccccc1,c[1*]N1CCCC1~c[1*]N
lig_07_ligOH~lig_03_ligNHMe,galectin,2,Oc1ccccc1,CNc1ccccc1,c[1*]O~c[1*]NC
lig_07_ligOH~lig_08_ligNH2,galectin,1,Oc1ccccc1,Nc1ccccc1,c[1*]O~c[1*]N
CHEMBL1086409~CHEMBL1086410,eg5,4,FCc1ccc(F)c(CF)c1CF,CCc1cccc(CC)c1CC,c[1*]F.C[3*]F.C[2*]F.C[4*]F~C[3*]C.C[2*]C.C[1*]C
CHEMBL1086409~CHEMBL1082248,eg5,4,Fc1ccccc1C(F)(F)F,Fc1ccccc1Br,c[1*]F.c[2*]C(F)(F)F~c[1*]F.c[2*]Br
CHEMBL1086409~CHEMBL1083836,eg5,7,Fc1ccccc1C(F)(F)F,c1ccc(C2CC2)cc1,c[1*]F.c[2*]C(F)(F)F~c[1*]C1CC1
CHEMBL1086409~CHEMBL1082249,eg5,10,Fc1ccccc1C(F)(F)F,CC(=O)NCCc1cccc(Br)c1F,c[1*]F.c[2*]C(F)(F)F~C[1*]CNC(C)=O.c[2*]F.c[3*]Br
CHEMBL1086409~CHEMBL1096002,eg5,7,Fc1ccccc1C(F)(F)F,OCCc1cccc(Cl)c1F,c[1*]F.c[2*]C(F)(F)F~C[1*]CO.c[2*]F.c[3*]Cl
CHEMBL1086409~CHEMBL1085895,eg5,6,Fc1ccccc1,O=Cc1ccccc1CNCCCO,c[1*]F~C[1*]=O.C[2*]NCCCO
CHEMBL1093087~CHEMBL1084431,eg5,9,c1ccc(Nc2ccccc2)cc1,Cc1ccc(C(=O)Nc2ccccc2)cc1,N[1*]c1ccccc1~N[1*]C(=O)c1ccc(C)cc1
CHEMBL1086410~CHEMBL1082248,eg5,5,CC(C)(C)c1ccccc1,Fc1ccccc1Br,c[1*]C(C)(C)C~c[1*]F.c[2*]Br
CHEMBL1086410~CHEMBL1083836,eg5,4,CC(C)(C)c1ccccc1,c1ccc(C2CC2)cc1,c[1*]C(C)(C)C~c[1*]C1CC1
CHEMBL1086410~CHEMBL1082249,eg5,7,CC(C)(C)c1ccccc1,CC(=O)NCCc1cccc(Br)c1F,c[1*]C(C)(C)C~C[1*]CNC(C)=O.c[2*]F.c[3*]Br
CHEMBL1086410~CHEMBL1096002,eg5,6,CC(C)(C)c1ccccc1,OCCc1cccc(Cl)c1F,c[1*]C(C)(C)C~C[1*]CO.c[2*]F.c[3*]Cl
CHEMBL1086410~CHEMBL1083517,eg5,4,CCc1cccc(CC)c1CC,Oc1ccc(CF)c(CF)c1CF,C[3*]C.C[1*]C.C[2*]C~c[1*]O.C[2*]F.C[3*]F.C[4*]F
CHEMBL1086410~CHEMBL1085895,eg5,9,CCc1cccc(CC)c1CC,O=Cc1cc(CF)c(CF)c(CF)c1CNCCCO,C[1*]C.C[2*]C.C[3*]C~C[1*]=O.C[2*]NCCCO.C[4*]F.C[5*]F.C[3*]F
CHEMBL1078691~CHEMBL1088740,eg5,4,CCc1ccc(O)c(CC)c1CC,c1ccccc1,C[2*]C.C[4*]C.C[3*]C.c[1*]O~
CHEMBL1078691~CHEMBL1089056,eg5,1,Oc1ccccc1,c1ccccc1,c[1*]O~
CHEMBL1078691~CHEMBL1089393,eg5,5,CC(C)(C)c1ccccc1O,Clc1ccccc1,c[2*]C(C)(C)C.c[1*]O~c[1*]Cl
CHEMBL1078691~CHEMBL1093088,eg5,9,CCc1ccc(O)c(CC)c1CC,FCc1ccc(CCn2cncn2)c(CF)c1CF,C[2*]C.C[1*]C.C[3*]C.c[4*]O~C[1*]F.C[2*]F.C[3*]F.CH[4*]Cn1cncn1
CHEMBL1088740~CHEMBL1089056,eg5,3,c1ccccc1,CCc1cccc(CC)c1CC,~C[1*]C.C[2*]C.C[3*]C
CHEMBL1088740~CHEMBL1078774,eg5,5,c1ccccc1,CCc1cc(F)c(O)c(CC)c1CC,~C[4*]C.C[3*]C.C[5*]C.c[1*]O.c[2*]F
CHEMBL1088740~CHEMBL1093088,eg5,9,c1ccccc1,FCc1ccc(CCn2cncn2)c(CF)c1CF,~C[3*]F.C[2*]F.C[4*]F.CH[1*]Cn1cncn1
CHEMBL1085666~CHEMBL1085895,eg5,7,c1ccccc1,O=C(NCCCO)Nc1ccccc1,~N[1*]C(=O)NCCCO
CHEMBL1082248~CHEMBL1083836,eg5,4,Fc1ccccc1Br,c1ccc(C2CC2)cc1,c[1*]F.c[2*]Br~c[1*]C1CC1
CHEMBL1082248~CHEMBL1082249,eg5,5,c1ccccc1,CC(=O)NCCc1ccccc1,~C[1*]CNC(C)=O
CHEMBL1082248~CHEMBL1096002,eg5,1,Brc1ccccc1,OCCc1ccccc1Cl,c[1*]Br~C[1*]CO.c[2*]Cl
CHEMBL1082248~CHEMBL1083517,eg5,4,Fc1ccccc1Br,Oc1ccccc1C(F)(F)F,c[1*]F.c[2*]Br~c[1*]O.c[2*]C(F)(F)F
CHEMBL1082248~CHEMBL1085895,eg5,9,Fc1ccccc1Br,O=Cc1cccc(C(F)(F)F)c1CNCCCO,c[1*]F.c[2*]Br~C[2*]=O.C[1*]NCCCO.c[3*]C(F)(F)F
CHEMBL1083836~CHEMBL1082249,eg5,7,c1ccc(C2CC2)cc1,CC(=O)NCCc1cccc(Br)c1F,c[1*]C1CC1~C[1*]CNC(C)=O.c[2*]F.c[3*]Br
CHEMBL1083836~CHEMBL1096002,eg5,5,c1ccc(C2CC2)cc1,OCCc1cccc(Cl)c1F,c[1*]C1CC1~C[1*]CO.c[2*]F.c[3*]Cl
CHEMBL1083836~CHEMBL1083517,eg5,7,c1ccc(C2CC2)cc1,Oc1ccccc1C(F)(F)F,c[1*]C1CC1~c[1*]O.c[2*]C(F)(F)F
CHEMBL1082249~CHEMBL1096002,eg5,3,CC(=O)NCc1ccccc1Br,OCc1ccccc1Cl,C[1*]NC(C)=O.c[2*]Br~C[1*]O.c[2*]Cl
CHEMBL1082249~CHEMBL1083517,eg5,10,CC(=O)NCCc1cccc(Br)c1F,Oc1ccccc1C(F)(F)F,C[1*]CNC(C)=O.c[2*]F.c[3*]Br~c[1*]O.c[2*]C(F)(F)F
CHEMBL1082249~CHEMBL1085895,eg5,5,CC(=O)NCCc1cccc(Br)c1F,O=Cc1cccc(C(F)(F)F)c1CNCCCO,C[1*]CNC(C)=O.c[2*]F.c[3*]Br~C[1*]=O.C[2*]NCCCO.c[3*]C(F)(F)F
CHEMBL1096002~CHEMBL1083517,eg5,7,OCCc1cccc(Cl)c1F,Oc1ccccc1C(F)(F)F,C[1*]CO.c[2*]F.c[3*]Cl~c[1*]O.c[2*]C(F)(F)F
CHEMBL1096002~CHEMBL1085895,eg5,9,OCCc1cccc(Cl)c1F,O=Cc1cccc(C(F)(F)F)c1CNCCCO,C[1*]CO.c[2*]F.c[3*]Cl~C[1*]=O.C[2*]NCCCO.c[3*]C(F)(F)F
CHEMBL1083517~CHEMBL1085895,eg5,6,Oc1ccccc1,O=Cc1ccccc1CNCCCO,c[1*]O~C[1*]=O.C[2*]NCCCO
CHEMBL1089056~CHEMBL1089393,eg5,3,CC(C)(C)c1ccccc1,Clc1ccccc1,c[1*]C(C)(C)C~c[1*]Cl
CHEMBL1089056~CHEMBL1078774,eg5,2,c1ccccc1,Oc1ccccc1F,~c[1*]O.c[2*]F
CHEMBL1089056~CHEMBL1093088,eg5,9,CCc1cccc(CC)c1CC,FCc1ccc(CCn2cncn2)c(CF)c1CF,C[1*]C.C[2*]C.C[3*]C~C[3*]F.C[2*]F.C[1*]F.CH[4*]Cn1cncn1
CHEMBL1085895~CHEMBL1093088,eg5,8,O=C(NCCCO)NCc1ccccc1,c1ccc(Cn2cncn2)cc1,C[1*]NC(=O)NCCCO~C[1*]n1cncn1
CHEMBL1089393~CHEMBL1078774,eg5,6,Clc1ccccc1,CC(C)(C)c1cccc(F)c1O,c[1*]Cl~c[3*]C(C)(C)C.c[1*]O.c[2*]F
CHEMBL1089393~CHEMBL1093088,eg5,9,Clc1ccccc1,FC(F)(F)c1ccccc1CCn1cncn1,c[1*]Cl~c[2*]C(F)(F)F.CH[1*]Cn1cncn1
CHEMBL1078774~CHEMBL1093088,eg5,10,CCc1cc(F)c(O)c(CC)c1CC,FCc1ccc(CCn2cncn2)c(CF)c1CF,C[2*]C.C[3*]C.C[1*]C.c[4*]O.c[5*]F~C[1*]F.C[2*]F.C[3*]F.CH[4*]Cn1cncn1
266~256,hif2a,9,Fc1c(SC(F)(F)F)ccc2cn[nH]c12,NSc1cccc(F)c1F,S[4*]C(F)(F)F.c[1*]F.c[2*]:[nH]nc:[3*]~c[1*]F.c[2*]F.S[3*]N
266~237,hif2a,6,FCc1ccc2cn[nH]c2c1F,N#Cc1ccccc1F,C[4*]F.c[1*]F.c[2*]:[nH]nc:[3*]~c[2*]C#N.c[1*]F
266~25,hif2a,10,Fc1cc2cccc(F)c2c2cn[nH]c12,Clc1cncc2ccccc12,c[1*]:c1cn[nH]c1c(F)cc:[2*].c[3*]F~c[1*]:cc(Cl)cnc:[2*]
266~252,hif2a,9,Fc1c(SC(F)(F)F)ccc2cn[nH]c12,N#Cc1c(F)cccc1SN,S[4*]C(F)(F)F.c[1*]F.c[2*]:[nH]nc:[3*]~c[1*]F.c[2*]C#N.S[3*]N
266~57,hif2a,8,FCc1cc2cn[nH]c2c(F)c1CF,N#Cc1ccccc1F,C[1*]F.C[2*]F.c[3*]F.c[4*]:[nH]nc:[5*]~c[1*]F.c[2*]C#N
266~235,hif2a,10,Fc1cc2ccccc2c2cn[nH]c12,N#Cc1cncc2ccccc12,c[1*]:ccc(F)c1[nH]ncc1:[2*]~c[1*]:cc(C#N)cnc:[2*]
266~227,hif2a,7,FCc1ccc2cn[nH]c2c1F,N#Cc1ccccc1F,C[1*]F.c[2*]F.c[3*]:[nH]nc:[4*]~c[1*]F.c[2*]C#N
266~336,hif2a,10,FCc1cc2cn[nH]c2c(F)c1SC(F)(F)F,N#Cc1c(F)ccc(SN)c1CF,S[5*]C(F)(F)F.C[1*]F.c[2*]F.c[3*]:[nH]nc:[4*]~c[2*]F.c[3*]C#N.CH[1*]F.S[4*]N
266~7b,hif2a,8,FCc1c(CF)c(F)c2[nH]ncc2c1CF,CCc1cccc(F)c1Cl,C[1*]F.C[2*]F.C[6*]F.c[3*]F.c[4*]:[nH]nc:[5*]~c[2*]F.c[3*]Cl.CH[1*]C
266~156,hif2a,9,FCc1c(CF)c(F)c2[nH]ncc2c1CF,N#Cc1ccccc1,C[2*]F.C[1*]F.C[6*]F.c[3*]F.c[4*]:[nH]nc:[5*]~c[1*]C#N
266~15,hif2a,6,FCc1ccc2cn[nH]c2c1F,N#Cc1ccccc1F,C[4*]F.c[1*]F.c[2*]:[nH]nc:[3*]~c[1*]F.c[2*]C#N
266~163,hif2a,8,FCc1c(CF)c(F)c2[nH]ncc2c1CF,N#Cc1ccccc1F,C[5*]F.C[6*]F.C[4*]F.c[1*]F.c[2*]:[nH]nc:[3*]~c[1*]F.c[2*]C#N
266~290,hif2a,6,OCc1ccc2cn[nH]c2c1F,N#Cc1cccc(CN)c1F,CH[1*]O.c[2*]F.c[3*]:[nH]nc:[4*]~CH[1*]N.c[2*]F.c[3*]C#N
266~206,hif2a,8,FCc1c(CF)c(F)c2[nH]ncc2c1CF,Cc1cccc(F)c1CC#N,C[6*]F.C[4*]F.C[5*]F.c[1*]F.c[2*]:[nH]nc:[3*]~c[1*]F.C[2*]C#N.c[3*]C
266~251,hif2a,9,Fc1c(SC(F)(F)F)ccc2cn[nH]c12,CNSc1cccc(F)c1F,S[4*]C(F)(F)F.c[1*]F.c[2*]:[nH]nc:[3*]~c[1*]F.c[2*]F.S[3*]NC
266~1,hif2a,8,FCc1c(CF)c(F)c2[nH]ncc2c1CF,Fc1ccccc1Cl,C[1*]F.C[2*]F.C[6*]F.c[3*]F.c[4*]:[nH]nc:[5*]~c[1*]F.c[2*]Cl
266~155,hif2a,9,FCc1c(CF)c(F)c2[nH]ncc2c1CF,N#Cc1ccccc1F,C[2*]F.C[1*]F.C[6*]F.c[3*]F.c[4*]:[nH]nc:[5*]~c[2*]C#N.c[1*]F
266~167,hif2a,7,FCc1cc2cn[nH]c2c(F)c1CF,N#Cc1ccccc1Cl,C[4*]F.C[5*]F.c[1*]F.c[2*]:[nH]nc:[3*]~c[2*]C#N.c[1*]Cl
266~23,hif2a,8,FCc1c(CF)c(F)c2[nH]ncc2c1CF,OCc1cccc(F)c1F,C[1*]F.C[2*]F.C[6*]F.c[3*]F.c[4*]:[nH]nc:[5*]~c[2*]F.c[3*]F.CH[1*]O
266~338,hif2a,10,Fc1c(SC(F)(F)F)ccc2cn[nH]c12,N#Cc1c(F)ccc(SN)c1CF,S[4*]C(F)(F)F.c[1*]F.c[2*]:[nH]nc:[3*]~c[2*]F.c[3*]C#N.CH[1*]F.S[4*]N
266~254,hif2a,9,Fc1c(SC(F)(F)F)ccc2cn[nH]c12,CNSc1cccc(F)c1C#N,S[4*]C(F)(F)F.c[1*]F.c[2*]:[nH]nc:[3*]~c[1*]F.c[2*]C#N.S[3*]NC
266~215,hif2a,8,FCc1c(CF)c(F)c2[nH]ncc2c1CF,N#CCc1c(F)cccc1Cl,C[5*]F.C[6*]F.C[4*]F.c[1*]F.c[2*]:[nH]nc:[3*]~c[1*]F.C[2*]C#N.c[3*]Cl
266~234,hif2a,8,FCc1c(CF)c(F)c2[nH]ncc2c1CF,N#Cc1ccccc1Cl,C[5*]F.C[6*]F.C[4*]F.c[1*]F.c[2*]:[nH]nc:[3*]~c[1*]Cl.c[2*]C#N
256~237,hif2a,5,NSc1ccccc1F,N#Cc1ccccc1SC(F)F,c[1*]F.S[2*]N~c[1*]C#N.S[2*]C(F)F
256~25,hif2a,3,Nc1cccc2cc(F)cc(F)c12,FC(F)c1cccc2cncc(Cl)c12,c[1*]:cc(F)cc(F)c:[2*].c[3*]N~c[1*]:cc(Cl)cnc:[2*].c[3*]C(F)F
256~252,hif2a,2,Fc1ccccc1,N#Cc1ccccc1,c[1*]F~c[1*]C#N
256~57,hif2a,8,NCc1c(CF)ccc(SF)c1F,N#Cc1ccccc1SC(F)(F)F,C[3*]F.C[4*]N.c[1*]F.S[2*]F~c[1*]C#N.S[2*]C(F)(F)F
256~235,hif2a,5,Nc1cccc2cc(F)cc(F)c12,N#Cc1cc2cccc(C(F)(F)F)c2cn1,c[1*]:cc(F)cc(F)c:[2*].c[3*]N~c[1*]:cncc(C#N)c:[2*].c[3*]C(F)(F)F
256~227,hif2a,7,Nc1c(CF)cccc1SF,N#Cc1ccccc1SC(F)(F)F,C[2*]F.c[3*]N.S[1*]F~c[1*]C#N.S[2*]C(F)(F)F
256~336,hif2a,3,FCc1ccccc1F,N#CCc1ccccc1F,C[2*]F.c[1*]F~CH[2*]C#N.c[1*]F
256~7b,hif2a,6,NCc1c(CF)ccc(SF)c1F,CCc1cccc(Cl)c1SC(F)F,C[3*]F.C[4*]N.c[2*]F.S[1*]F~c[2*]Cl.S[3*]C(F)F.CH[1*]C
256~156,hif2a,8,NSc1c(F)c(F)cc(CF)c1CF,N#Cc1ccccc1SC(F)F,c[3*]F.c[4*]F.S[5*]N.C[1*]F.C[2*]F~c[1*]C#N.S[2*]C(F)F
256~165,hif2a,4,NSc1cccc(CO)c1F,CSc1cccc(CN)c1C#N,CH[1*]O.c[2*]F.S[3*]N~CH[1*]N.c[2*]C#N.S[3*]C
256~163,hif2a,3,NSc1ccccc1F,CSc1ccccc1C#N,c[1*]F.S[2*]N~c[1*]C#N.S[2*]C
256~290,hif2a,7,NSc1cccc(CO)c1F,N#Cc1c(CN)cccc1SC(F)(F)F,CH[1*]O.c[2*]F.S[3*]N~CH[1*]N.c[2*]C#N.S[3*]C(F)(F)F
256~206,hif2a,4,NSc1ccccc1F,CCSc1ccccc1C#N,c[1*]F.S[2*]N~c[1*]C#N.S[2*]CC
256~289,hif2a,4,Nc1c(CF)cccc1SF,CSc1cccc(CC#N)c1F,C[2*]F.c[3*]N.S[1*]F~CH[2*]C#N.c[1*]F.S[3*]C
256~1,hif2a,6,NCc1c(CF)ccc(SF)c1F,FC(F)Sc1ccccc1Cl,C[3*]F.C[4*]N.c[2*]F.S[1*]F~c[1*]Cl.S[2*]C(F)F
256~155,hif2a,7,NCc1c(CF)ccc(SF)c1F,N#Cc1ccccc1SC(F)F,C[3*]F.C[4*]N.c[1*]F.S[2*]F~c[1*]C#N.S[2*]C(F)F
256~167,hif2a,5,NSc1cccc(F)c1F,N#Cc1cccc(Cl)c1SCF,c[1*]F.c[2*]F.S[3*]N~c[2*]C#N.S[3*]CF.c[1*]Cl
256~67,hif2a,4,NS(=O)(=O)c1ccccc1,N#Cc1ccccc1,c[1*]S(N)(=O)=O~c[1*]C#N
256~23,hif2a,5,NCc1cccc(CF)c1SF,OSc1ccccc1CC(F)F,C[3*]N.S[1*]F.C[2*]F~CH[2*]C(F)F.S[1*]O
256~338,hif2a,3,Fc1ccccc1,N#CCc1ccccc1F,c[1*]F~CH[2*]C#N.c[1*]F
256~61,hif2a,5,Nc1c(CF)ccc(CF)c1SF,FCSc1ccccc1Cl,C[3*]F.c[4*]N.S[1*]F.C[2*]F~c[1*]Cl.S[2*]CF
256~231,hif2a,4,Nc1c(CF)cccc1SF,CSc1ccccc1C#N,C[2*]F.c[3*]N.S[1*]F~c[1*]C#N.S[2*]C
256~254,hif2a,3,Fc1ccccc1,CNc1ccccc1C#N,c[1*]F~c[1*]C#N.N[2*]C
256~215,hif2a,4,NSc1ccccc1F,N#Cc1ccccc1SCCl,c[1*]F.S[2*]N~c[1*]C#N.S[2*]CCl
256~234,hif2a,4,NSc1cccc(F)c1F,CSc1cccc(Cl)c1C#N,c[1*]F.c[2*]F.S[3*]N~c[1*]Cl.c[2*]C#N.S[3*]C
35~30,hif2a,0,OCc1ccccc1Cl,N#Cc1ccccc1Cl,c[1*]CO.c[2*]Cl~c[1*]Cl.c[2*]C#N
35~41,hif2a,0,N#Cc1ccccc1,Clc1ccccc1,c[1*]C#N~c[1*]Cl
35~50,hif2a,3,OCc1cccc(CF)c1CF,c1ccccc1,C[3*]F.C[2*]F.C[1*]O~
35~54,hif2a,3,N#Cc1cccc(CF)c1CF,FCc1ccccc1CF,C[2*]F.C[1*]F.C[3*]#N~C[2*]F.C[1*]F
35~84,hif2a,6,N#Cc1ccccc1CO,O=C1OCc2ccccc21,c[2*]CO.c[1*]C#N~c[1*]C(=O)OC[2*]
35~43,hif2a,3,N#Cc1c(F)cccc1Cl,N#Cc1ccccc1Cl,c[3*]Cl.c[1*]C#N.c[2*]F~c[2*]C#N.c[1*]Cl
35~124,hif2a,4,N#Cc1ccccc1CO,FCc1cccc(CF)c1CF,c[1*]CO.C[2*]#N~C[1*]F.C[2*]F.C[3*]F
35~31,hif2a,4,Oc1c(Cl)cccc1CF,N#Cc1ccccc1,c[3*]Cl.c[1*]O.C[2*]F~c[1*]C#N
35~42,hif2a,0,N#Cc1ccccc1Cl,N#Cc1ccccc1Cl,c[2*]Cl.c[1*]C#N~c[2*]C#N.c[1*]Cl
30~41,hif2a,0,N#Cc1cccc(Cl)c1C#N,OCc1cccc(Cl)c1Cl,c[2*]Cl.c[3*]C#N.c[1*]C#N~c[2*]CO.c[3*]Cl.c[1*]Cl
30~50,hif2a,3,N#Cc1c(Cl)ccc(CF)c1CF,Cc1ccccc1Cl,c[1*]Cl.c[2*]C#N.C[3*]F.C[4*]F~c[1*]C.c[2*]Cl
30~54,hif2a,3,N#Cc1cc(Cl)c(C#N)c(CF)c1CF,OCc1ccc(CF)c(CF)c1Cl,c[1*]Cl.c[2*]C#N.C[3*]F.C[4*]F.C[5*]#N~c[1*]CO.c[2*]Cl.C[3*]F.C[4*]F
30~84,hif2a,5,N#Cc1cccc(Cl)c1C#N,O=C1OCc2cccc(Cl)c21,c[2*]Cl.c[3*]C#N.c[1*]C#N~c[1*]C(=O)OC[2*].c[3*]Cl
30~43,hif2a,1,N#Cc1cccc(Cl)c1F,OCc1ccccc1Cl,c[2*]Cl.c[3*]F.c[1*]C#N~c[2*]CO.c[1*]Cl
30~124,hif2a,3,N#Cc1cccc(Cl)c1C#N,FCc1ccc(CCl)c(F)c1CF,c[1*]Cl.c[2*]C#N.C[3*]#N~C[1*]Cl.c[2*]F.C[3*]F.C[4*]F
30~31,hif2a,2,Fc1ccccc1Cl,Cc1ccccc1,c[1*]Cl.c[2*]F~c[1*]C
30~42,hif2a,0,N#Cc1ccccc1Cl,OCc1ccccc1Cl,c[2*]Cl.c[1*]C#N~c[2*]CO.c[1*]Cl
237~25,hif2a,7,N#Cc1cc(F)c2ccccc2c1,Clc1cncc2ccccc12,c[1*]:cc(F)cc(C#N)c:[2*]~c[1*]:cc(Cl)cnc:[2*]
237~252,hif2a,3,FC(F)Sc1ccccc1,NSc1ccccc1,S[1*]C(F)F~S[1*]N
237~57,hif2a,2,FCc1ccccc1CF,FCc1ccccc1,C[1*]F.C[2*]F~C[1*]F
237~235,hif2a,9,N#Cc1cc(F)c2ccccc2c1,N#Cc1cc2cccc(F)c2cn1,c[1*]:cc(F)cc(C#N)c:[2*]~c[1*]:cncc(C#N)c:[2*].c[3*]F
237~227,hif2a,1,FCc1ccccc1,FCc1ccccc1,C[1*]F~C[1*]F
237~336,hif2a,4,FCc1ccccc1SC(F)F,NSc1ccccc1CF,S[2*]C(F)F.C[1*]F~CH[1*]F.S[2*]N
237~7b,hif2a,4,N#Cc1cccc(CF)c1CF,CCc1ccccc1Cl,c[3*]C#N.C[1*]F.C[2*]F~c[2*]Cl.CH[1*]C
237~156,hif2a,3,FCc1cccc(F)c1CF,c1ccccc1,c[1*]F.C[2*]F.C[3*]F~
237~7a,hif2a,4,N#Cc1cccc(CF)c1CF,CCc1ccccc1Cl,c[3*]C#N.C[2*]F.C[1*]F~c[2*]Cl.CH[1*]C
237~165,hif2a,3,OCc1cccc(CF)c1CF,NCc1ccccc1,CH[1*]O.C[2*]F.C[3*]F~CH[1*]N
237~163,hif2a,2,FCc1ccccc1CF,c1ccccc1,C[1*]F.C[2*]F~
237~290,hif2a,2,OCc1ccccc1,NCc1ccccc1CF,CH[1*]O~CH[1*]N.C[2*]F
237~206,hif2a,2,FCc1ccccc1CF,CCc1ccccc1,C[2*]F.C[1*]F~C[1*]C
237~289,hif2a,3,FCc1cccc(CF)c1CF,FCc1ccccc1,C[1*]F.C[2*]F.C[3*]F~CH[1*]F
237~251,hif2a,5,N#Cc1ccccc1SC(F)F,CNSc1ccccc1F,c[1*]C#N.S[2*]C(F)F~c[1*]F.S[2*]NC
237~1,hif2a,4,N#Cc1cccc(CF)c1CF,Clc1ccccc1,c[3*]C#N.C[2*]F.C[1*]F~c[1*]Cl
237~167,hif2a,2,FCc1ccccc1F,Clc1ccccc1,C[2*]F.c[1*]F~c[1*]Cl
237~67,hif2a,8,N#Cc1ccccc1S(=O)(=O)C(F)F,N#Cc1ccccc1F,c[2*]C#N.c[1*]S(=O)(=O)C(F)F~c[2*]F.c[1*]C#N
237~23,hif2a,4,N#Cc1cccc(CF)c1CF,Oc1ccccc1CF,c[3*]C#N.C[1*]F.C[2*]F~CH[2*]F.c[1*]O
237~338,hif2a,4,FC(F)Sc1ccccc1,NSc1ccccc1CF,S[1*]C(F)F~CH[1*]F.S[2*]N
237~61,hif2a,5,N#Cc1ccc(CF)c(CF)c1CF,Clc1ccccc1,c[3*]C#N.C[2*]F.C[1*]F.C[4*]F~c[1*]Cl
237~231,hif2a,3,FCc1cccc(CF)c1CF,c1ccccc1,C[1*]F.C[3*]F.C[2*]F~
237~254,hif2a,3,FC(F)Sc1ccccc1,CNSc1ccccc1,S[1*]C(F)F~S[1*]NC
237~215,hif2a,2,FCc1ccccc1CF,ClCc1ccccc1,C[1*]F.C[2*]F~C[1*]Cl
237~234,hif2a,3,FCc1cccc(F)c1CF,Clc1ccccc1,C[2*]F.C[3*]F.c[1*]F~c[1*]Cl
25~252,hif2a,10,FC(F)c1cccc2cc(Cl)ncc12,N#Cc1cc(F)cc2cccc(N)c12,c[1*]:cncc(Cl)c:[2*].c[3*]C(F)F~c[1*]:cc(C#N)cc(F)c:[2*].c[3*]N
25~235,hif2a,1,Clc1ccccc1,N#Cc1ccccc1CF,c[1*]Cl~c[1*]C#N.C[2*]F
25~15,hif2a,7,Clc1cncc2ccccc12,N#Cc1cc(F)cc2ccccc12,c[1*]:cc(Cl)cnc:[2*]~c[1*]:cc(C#N)cc(F)c:[2*]
25~165,hif2a,10,OCc1cc2cncc(Cl)c2c(F)c1CF,N#Cc1cc(F)cc2cccc(CN)c12,CH[1*]O.c[2*]:cc(Cl)cnc:[3*].c[5*]F.C[4*]F~CH[1*]N.c[2*]:cc(C#N)cc(F)c:[3*]
25~163,hif2a,9,FCc1ccc2cc(Cl)ncc2c1F,N#Cc1cc(F)cc2ccccc12,c[1*]:cncc(Cl)c:[2*].c[4*]F.C[3*]F~c[1*]:cc(C#N)cc(F)c:[2*]
25~290,hif2a,9,OCc1cccc2cc(Cl)ncc12,N#Cc1cc(F)cc2ccc(CN)c(F)c12,CH[1*]O.c[2*]:cncc(Cl)c:[3*]~CH[1*]N.c[2*]:cc(C#N)cc(F)c:[3*].c[4*]F
25~206,hif2a,9,FCc1ccc2cc(Cl)ncc2c1F,Cc1cccc2cc(C#N)cc(F)c12,c[1*]:cncc(Cl)c:[2*].c[4*]F.C[3*]F~c[1*]:cc(F)cc(C#N)c:[2*].c[3*]C
25~289,hif2a,10,FCc1cc2cncc(Cl)c2c(F)c1CF,N#Cc1cc(F)c2c(F)cccc2c1,c[2*]:cc(Cl)cnc:[3*].c[5*]F.C[4*]F.C[1*]F~c[2*]:cc(F)cc(C#N)c:[3*].c[1*]F
25~251,hif2a,3,FC(F)c1cccc2cc(Cl)ncc12,CNc1cccc2cc(F)cc(F)c12,c[1*]:cncc(Cl)c:[2*].c[3*]C(F)F~c[1*]:cc(F)cc(F)c:[2*].c[3*]NC
25~164,hif2a,10,OCc1cc2cncc(Cl)c2c(F)c1CF,N#Cc1cc(F)cc2cccc(CN)c12,CH[1*]O.c[2*]:cc(Cl)cnc:[3*].c[4*]F.C[5*]F~CH[1*]N.c[2*]:cc(C#N)cc(F)c:[3*]
25~167,hif2a,8,Fc1cccc2cc(Cl)ncc12,N#Cc1cc(Cl)c2ccccc2c1,c[1*]:cncc(Cl)c:[2*].c[3*]F~c[1*]:cc(Cl)cc(C#N)c:[2*]
25~67,hif2a,6,O=S(=O)(c1cccc2cc(Cl)ncc12)C(F)F,N#Cc1cccc2cc(F)cc(F)c12,c[2*]:cncc(Cl)c:[3*].c[1*]S(=O)(=O)C(F)F~c[2*]:cc(F)cc(F)c:[3*].c[1*]C#N
25~254,hif2a,10,FC(F)c1cccc2cncc(Cl)c12,CNc1cccc2cc(F)cc(C#N)c12,c[1*]:cc(Cl)cnc:[2*].c[3*]C(F)F~c[1*]:cc(C#N)cc(F)c:[2*].c[3*]NC
25~215,hif2a,9,FCc1ccc2cncc(Cl)c2c1F,N#Cc1cc(F)cc2cccc(Cl)c12,c[1*]:cc(Cl)cnc:[2*].c[4*]F.C[3*]F~c[1*]:cc(C#N)cc(F)c:[2*].c[3*]Cl
